"","Country","Year","Variable","Value","population","comorbidity","value_population_ratio","Normalized Values pop","standard daviation"
"Cerebrovascular diseases.17437","Costa Rica",2012,"Cerebrovascular diseases",1275,NA,0,0.000271970815718335,-0.135912649303172,1.49298512677002e-05
"Cerebrovascular diseases.17438","Costa Rica",2013,"Cerebrovascular diseases",1277,NA,0,0.000269289352358053,-0.315516806920108,1.49298512677002e-05
"Cerebrovascular diseases.17439","Costa Rica",2014,"Cerebrovascular diseases",1358,NA,0,0.000283188645761867,0.615456526610963,1.49298512677002e-05
"Cerebrovascular diseases.17440","Costa Rica",2015,"Cerebrovascular diseases",1246,NA,0,0.000257023539519432,-1.1370797695169,1.49298512677002e-05
"Cerebrovascular diseases.17441","Costa Rica",2016,"Cerebrovascular diseases",1232,NA,0,0.00025146264718321,-1.50954780262132,1.49298512677002e-05
"Cerebrovascular diseases.17442","Costa Rica",2017,"Cerebrovascular diseases",1407,NA,0,0.000284245008287954,0.686211586868821,1.49298512677002e-05
"Cerebrovascular diseases.17443","Costa Rica",2018,"Cerebrovascular diseases",1424,NA,0,0.00028483173025475,0.72551016769699,1.49298512677002e-05
"Cerebrovascular diseases.17444","Costa Rica",2019,"Cerebrovascular diseases",1533,NA,0,0.00030371103984677,1.99004450588316,1.49298512677002e-05
"Cerebrovascular diseases.17445","Costa Rica",2020,"Cerebrovascular diseases",1424,NA,1,0.000279538306366917,0.37095714550543,1.49298512677002e-05
"Certain conditions originating in the pe.17596","Costa Rica",2010,"Certain conditions originating in the pe",330,NA,0,7.20937848385023e-05,1.8099832841148,7.4113699030577e-06
"Certain conditions originating in the pe.17597","Costa Rica",2011,"Certain conditions originating in the pe",309,NA,0,6.66942077051883e-05,1.08143010110793,7.4113699030577e-06
"Certain conditions originating in the pe.17598","Costa Rica",2012,"Certain conditions originating in the pe",300,NA,0,6.39931331101964e-05,0.716979988602074,7.4113699030577e-06
"Certain conditions originating in the pe.17599","Costa Rica",2013,"Certain conditions originating in the pe",308,NA,0,6.49499769195618e-05,0.846084839915812,7.4113699030577e-06
"Certain conditions originating in the pe.17600","Costa Rica",2014,"Certain conditions originating in the pe",271,NA,0,5.65126089848792e-05,-0.292350839998309,7.4113699030577e-06
"Certain conditions originating in the pe.17601","Costa Rica",2015,"Certain conditions originating in the pe",281,NA,0,5.79643776925846e-05,-0.0964668500349419,7.4113699030577e-06
"Certain conditions originating in the pe.17602","Costa Rica",2016,"Certain conditions originating in the pe",268,NA,0,5.470129013401e-05,-0.536748147724366,7.4113699030577e-06
"Certain conditions originating in the pe.17603","Costa Rica",2017,"Certain conditions originating in the pe",267,NA,0,5.39398843019785e-05,-0.639482978395462,7.4113699030577e-06
"Certain conditions originating in the pe.17604","Costa Rica",2018,"Certain conditions originating in the pe",273,NA,0,5.46060831176593e-05,-0.549594223091811,7.4113699030577e-06
"Certain conditions originating in the pe.17605","Costa Rica",2019,"Certain conditions originating in the pe",271,NA,0,5.36892966721948e-05,-0.673294221534247,7.4113699030577e-06
"Certain conditions originating in the pe.17606","Costa Rica",2020,"Certain conditions originating in the pe",236,NA,1,4.63279777405845e-05,-1.66654095296148,7.4113699030577e-06
"Certain infectious and parasitic disease.16685","Costa Rica",2010,"Certain infectious and parasitic disease",383,NA,0,8.36724836155951e-05,-0.344397433639883,8.04715468693582e-06
"Certain infectious and parasitic disease.16686","Costa Rica",2011,"Certain infectious and parasitic disease",370,NA,0,7.98603781583161e-05,-0.818118345637234,8.04715468693582e-06
"Certain infectious and parasitic disease.16687","Costa Rica",2012,"Certain infectious and parasitic disease",365,NA,0,7.78583119507389e-05,-1.06691015907502,8.04715468693582e-06
"Certain infectious and parasitic disease.16688","Costa Rica",2013,"Certain infectious and parasitic disease",380,NA,0,8.01330884072515e-05,-0.784229317832387,8.04715468693582e-06
"Certain infectious and parasitic disease.16689","Costa Rica",2014,"Certain infectious and parasitic disease",391,NA,0,8.15366424837187e-05,-0.609813125889936,8.04715468693582e-06
"Certain infectious and parasitic disease.16690","Costa Rica",2015,"Certain infectious and parasitic disease",412,NA,0,8.49869167592343e-05,-0.181056079487316,8.04715468693582e-06
"Certain infectious and parasitic disease.16691","Costa Rica",2016,"Certain infectious and parasitic disease",452,NA,0,9.22573997782557e-05,0.722428854240206,8.04715468693582e-06
"Certain infectious and parasitic disease.16692","Costa Rica",2017,"Certain infectious and parasitic disease",440,NA,0,8.88896969770432e-05,0.303932760623447,8.04715468693582e-06
"Certain infectious and parasitic disease.16693","Costa Rica",2018,"Certain infectious and parasitic disease",482,NA,0,9.64107401564534e-05,1.23855418546324,8.04715468693582e-06
"Certain infectious and parasitic disease.16694","Costa Rica",2019,"Certain infectious and parasitic disease",523,NA,0,0.00010361439911276,2.13373505827547,8.04715468693582e-06
"Certain infectious and parasitic disease.16695","Costa Rica",2020,"Certain infectious and parasitic disease",416,NA,1,8.16628760173015e-05,-0.594126397040578,8.04715468693582e-06
"Chronic liver diseases and cirrhosis.16836","Costa Rica",2010,"Chronic liver diseases and cirrhosis",291,NA,0,6.35736102666793e-05,-0.33695052914946,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16837","Costa Rica",2011,"Chronic liver diseases and cirrhosis",277,NA,0,5.97873641887934e-05,-0.932641208403524,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16838","Costa Rica",2012,"Chronic liver diseases and cirrhosis",244,NA,0,5.20477482629597e-05,-2.15031617542514,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16839","Costa Rica",2013,"Chronic liver diseases and cirrhosis",303,NA,0,6.38955941773611e-05,-0.286292750833577,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16840","Costa Rica",2014,"Chronic liver diseases and cirrhosis",309,NA,0,6.44368862595117e-05,-0.201131184084275,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16841","Costa Rica",2015,"Chronic liver diseases and cirrhosis",337,NA,0,6.95159974462669e-05,0.59796616210155,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16842","Costa Rica",2016,"Chronic liver diseases and cirrhosis",340,NA,0,6.93971591252366e-05,0.579269310729568,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16843","Costa Rica",2017,"Chronic liver diseases and cirrhosis",352,NA,0,7.11117575816346e-05,0.849027350257206,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16844","Costa Rica",2018,"Chronic liver diseases and cirrhosis",354,NA,0,7.08078879987231e-05,0.801219501922561,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16845","Costa Rica",2019,"Chronic liver diseases and cirrhosis",378,NA,0,7.48876536608473e-05,1.4430896626241,6.35606063641471e-06
"Chronic liver diseases and cirrhosis.16846","Costa Rica",2020,"Chronic liver diseases and cirrhosis",323,NA,1,6.34065119076644e-05,-0.363240139739003,6.35606063641471e-06
"Chronic obstructive Pulmonary diseases.17788","Costa Rica",2010,"Chronic obstructive Pulmonary diseases",844,NA,0,0.000184385316374836,1.18919034970493,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17789","Costa Rica",2011,"Chronic obstructive Pulmonary diseases",727,NA,0,0.000156914851138097,-1.40314235233148,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17790","Costa Rica",2012,"Chronic obstructive Pulmonary diseases",787,NA,0,0.000167875319192415,-0.368824967388356,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17791","Costa Rica",2013,"Chronic obstructive Pulmonary diseases",772,NA,0,0.000162796695395785,-0.848084507985354,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17792","Costa Rica",2014,"Chronic obstructive Pulmonary diseases",820,NA,0,0.00017099756224207,-0.074185153625717,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17793","Costa Rica",2015,"Chronic obstructive Pulmonary diseases",768,NA,0,0.000158422213764786,-1.26089556483372,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17794","Costa Rica",2016,"Chronic obstructive Pulmonary diseases",903,NA,0,0.000184310690264967,1.18214803340728,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17795","Costa Rica",2017,"Chronic obstructive Pulmonary diseases",850,NA,0,0.000171718732796561,-0.00612973497733119,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17796","Costa Rica",2018,"Chronic obstructive Pulmonary diseases",859,NA,0,0.000171819140652269,0.00334555296008653,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17797","Costa Rica",2019,"Chronic obstructive Pulmonary diseases",956,NA,0,0.000189398404496746,1.662265420135,1.05968131386685e-05
"Chronic obstructive Pulmonary diseases.17798","Costa Rica",2020,"Chronic obstructive Pulmonary diseases",871,NA,1,0.000170981646661225,-0.0756870750653625,1.05968131386685e-05
"Congenital malformations, deformations a.17073","Costa Rica",2010,"Congenital malformations, deformations a",287,NA,0,6.26997462080308e-05,1.3840994396384,6.56733856683517e-06
"Congenital malformations, deformations a.17074","Costa Rica",2011,"Congenital malformations, deformations a",301,NA,0,6.49674968260896e-05,1.72940684156083,6.56733856683517e-06
"Congenital malformations, deformations a.17075","Costa Rica",2012,"Congenital malformations, deformations a",290,NA,0,6.18600286731898e-05,1.25623675579849,6.56733856683517e-06
"Congenital malformations, deformations a.17076","Costa Rica",2013,"Congenital malformations, deformations a",237,NA,0,4.99777419803121e-05,-0.553063400109847,6.56733856683517e-06
"Congenital malformations, deformations a.17077","Costa Rica",2014,"Congenital malformations, deformations a",263,NA,0,5.48443400849566e-05,0.18796708813399,6.56733856683517e-06
"Congenital malformations, deformations a.17078","Costa Rica",2015,"Congenital malformations, deformations a",226,NA,0,4.66190368630751e-05,-1.06448900776747,6.56733856683517e-06
"Congenital malformations, deformations a.17079","Costa Rica",2016,"Congenital malformations, deformations a",245,NA,0,5.00067764284793e-05,-0.54864236290099,6.56733856683517e-06
"Congenital malformations, deformations a.17080","Costa Rica",2017,"Congenital malformations, deformations a",246,NA,0,4.96974214917105e-05,-0.595747431966713,6.56733856683517e-06
"Congenital malformations, deformations a.17081","Costa Rica",2018,"Congenital malformations, deformations a",254,NA,0,5.08056597504962e-05,-0.426997450904028,6.56733856683517e-06
"Congenital malformations, deformations a.17082","Costa Rica",2019,"Congenital malformations, deformations a",260,NA,0,5.15100263275669e-05,-0.319744479262252,6.56733856683517e-06
"Congenital malformations, deformations a.17083","Costa Rica",2020,"Congenital malformations, deformations a",238,NA,1,4.67205877214369e-05,-1.04902599222041,6.56733856683517e-06
"Dementia.17467","Costa Rica",2010,"Dementia",162,NA,0,3.53914943752648e-05,-1.29989906257276,1.97759374566289e-05
"Dementia.17468","Costa Rica",2011,"Dementia",199,NA,0,4.29519331175808e-05,-0.917594114506601,1.97759374566289e-05
"Dementia.17469","Costa Rica",2012,"Dementia",250,NA,0,5.33276109251637e-05,-0.392932371904614,1.97759374566289e-05
"Dementia.17470","Costa Rica",2013,"Dementia",281,NA,0,5.92563101116781e-05,-0.0931387869220138,1.97759374566289e-05
"Dementia.17471","Costa Rica",2014,"Dementia",250,NA,0,5.21334031225823e-05,-0.453319284292478,1.97759374566289e-05
"Dementia.17472","Costa Rica",2015,"Dementia",240,NA,0,4.95069418014957e-05,-0.586130248467842,1.97759374566289e-05
"Dementia.17473","Costa Rica",2016,"Dementia",249,NA,0,5.08232135946585e-05,-0.519570986938544,1.97759374566289e-05
"Dementia.17474","Costa Rica",2017,"Dementia",361,NA,0,7.29299559288923e-05,0.598289664811421,1.97759374566289e-05
"Dementia.17475","Costa Rica",2018,"Dementia",327,NA,0,6.54072863717018e-05,0.217894572356834,1.97759374566289e-05
"Dementia.17476","Costa Rica",2019,"Dementia",507,NA,0,0.000100444551338755,1.98960653513457,1.97759374566289e-05
"Dementia.17477","Costa Rica",2020,"Dementia",458,NA,1,8.99076856152022e-05,1.45679408330203,1.97759374566289e-05
"Diabetes mellitus.17927","Costa Rica",2010,"Diabetes mellitus",769,NA,0,0.000168000365275177,-0.593506171578773,9.56324731736339e-05
"Diabetes mellitus.17928","Costa Rica",2011,"Diabetes mellitus",680,NA,0,0.000146770424723392,-0.815501272690912,9.56324731736339e-05
"Diabetes mellitus.17929","Costa Rica",2012,"Diabetes mellitus",664,NA,0,0.000141638134617235,-0.869168086230688,9.56324731736339e-05
"Diabetes mellitus.17930","Costa Rica",2013,"Diabetes mellitus",710,NA,0,0.000149722349392496,-0.784633884541858,9.56324731736339e-05
"Diabetes mellitus.17931","Costa Rica",2014,"Diabetes mellitus",711,NA,0,0.000148267398480624,-0.799847868490914,9.56324731736339e-05
"Diabetes mellitus.17932","Costa Rica",2015,"Diabetes mellitus",970,NA,0,0.000200090556447712,-0.257948697139402,9.56324731736339e-05
"Diabetes mellitus.17933","Costa Rica",2016,"Diabetes mellitus",1129,NA,0,0.000230439390154094,0.0593999261810462,9.56324731736339e-05
"Diabetes mellitus.17934","Costa Rica",2017,"Diabetes mellitus",1282,NA,0,0.000258992253464931,0.357968627410748,9.56324731736339e-05
"Diabetes mellitus.17935","Costa Rica",2018,"Diabetes mellitus",1222,NA,0,0.000244427229193332,0.205666550634447,9.56324731736339e-05
"Diabetes mellitus.17936","Costa Rica",2019,"Diabetes mellitus",1711,NA,0,0.000338975596332565,1.19433037999676,9.56324731736339e-05
"Diabetes mellitus.17937","Costa Rica",2020,"Diabetes mellitus",2267,NA,1,0.000445023413296208,2.30324049644955,9.56324731736339e-05
"Diseases of the blood and blood-forming .17478","Costa Rica",2010,"Diseases of the blood and blood-forming ",57,NA,0,1.24525628357413e-05,-1.08264517962154,3.795498104416e-06
"Diseases of the blood and blood-forming .17479","Costa Rica",2011,"Diseases of the blood and blood-forming ",51,NA,0,1.10077818542544e-05,-1.46330166837224,3.795498104416e-06
"Diseases of the blood and blood-forming .17480","Costa Rica",2012,"Diseases of the blood and blood-forming ",63,NA,0,1.34385579531412e-05,-0.822865016313661,3.795498104416e-06
"Diseases of the blood and blood-forming .17481","Costa Rica",2013,"Diseases of the blood and blood-forming ",74,NA,0,1.560486458457e-05,-0.252108142819685,3.795498104416e-06
"Diseases of the blood and blood-forming .17482","Costa Rica",2014,"Diseases of the blood and blood-forming ",77,NA,0,1.60570881617554e-05,-0.132960783304694,3.795498104416e-06
"Diseases of the blood and blood-forming .17483","Costa Rica",2015,"Diseases of the blood and blood-forming ",72,NA,0,1.48520825404487e-05,-0.450443650679764,3.795498104416e-06
"Diseases of the blood and blood-forming .17484","Costa Rica",2016,"Diseases of the blood and blood-forming ",95,NA,0,1.93903826967573e-05,0.745262428326918,3.795498104416e-06
"Diseases of the blood and blood-forming .17485","Costa Rica",2017,"Diseases of the blood and blood-forming ",101,NA,0,2.04042258970031e-05,1.01237972686179,3.795498104416e-06
"Diseases of the blood and blood-forming .17486","Costa Rica",2018,"Diseases of the blood and blood-forming ",77,NA,0,1.54017157511347e-05,-0.305631772089582,3.795498104416e-06
"Diseases of the blood and blood-forming .17487","Costa Rica",2019,"Diseases of the blood and blood-forming ",103,NA,0,2.04058950451515e-05,1.01281949737477,3.795498104416e-06
"Diseases of the blood and blood-forming .17488","Costa Rica",2020,"Diseases of the blood and blood-forming ",118,NA,1,2.31639888702923e-05,1.73949456063768,3.795498104416e-06
"Diseases of the circulatory system.17574","Costa Rica",2010,"Diseases of the circulatory system",5599,NA,0,0.00122319121609326,0.453178318686003,3.92479943227843e-05
"Diseases of the circulatory system.17575","Costa Rica",2011,"Diseases of the circulatory system",5440,NA,0,0.00117416339778713,-0.796001904458797,3.92479943227843e-05
"Diseases of the circulatory system.17576","Costa Rica",2012,"Diseases of the circulatory system",5727,NA,0,0.00122162891107365,0.413372335053885,3.92479943227843e-05
"Diseases of the circulatory system.17577","Costa Rica",2013,"Diseases of the circulatory system",5553,NA,0,0.00117099747348807,-0.876666518120919,3.92479943227843e-05
"Diseases of the circulatory system.17578","Costa Rica",2014,"Diseases of the circulatory system",5968,NA,0,0.00124452859934228,0.996833698207981,3.92479943227843e-05
"Diseases of the circulatory system.17579","Costa Rica",2015,"Diseases of the circulatory system",5708,NA,0,0.00117744009917891,-0.712514800256105,3.92479943227843e-05
"Diseases of the circulatory system.17580","Costa Rica",2016,"Diseases of the circulatory system",5813,NA,0,0.00118648731175,-0.482000789866495,3.92479943227843e-05
"Diseases of the circulatory system.17581","Costa Rica",2017,"Diseases of the circulatory system",5936,NA,0,0.00119920282103575,-0.158022214523986,3.92479943227843e-05
"Diseases of the circulatory system.17582","Costa Rica",2018,"Diseases of the circulatory system",6400,NA,0,0.00128014260788652,1.90424334190432,3.92479943227843e-05
"Diseases of the circulatory system.17583","Costa Rica",2019,"Diseases of the circulatory system",6235,NA,0,0.00123525005443223,0.760425569075411,3.92479943227843e-05
"Diseases of the circulatory system.17584","Costa Rica",2020,"Diseases of the circulatory system",5840,NA,1,0.00114642114408904,-1.50284703570129,3.92479943227843e-05
"Diseases of the digestive system.17362","Costa Rica",2010,"Diseases of the digestive system",1375,NA,0,0.000300390770160426,-0.586145117547049,2.5512066266498e-05
"Diseases of the digestive system.17363","Costa Rica",2011,"Diseases of the digestive system",1371,NA,0,0.000295915076905544,-0.76157948684231,2.5512066266498e-05
"Diseases of the digestive system.17364","Costa Rica",2012,"Diseases of the digestive system",1326,NA,0,0.000282849648347068,-1.27370690223843,2.5512066266498e-05
"Diseases of the digestive system.17365","Costa Rica",2013,"Diseases of the digestive system",1421,NA,0,0.000299655575333433,-0.614962651153054,2.5512066266498e-05
"Diseases of the digestive system.17366","Costa Rica",2014,"Diseases of the digestive system",1467,NA,0,0.000305918809523313,-0.369461791894739,2.5512066266498e-05
"Diseases of the digestive system.17367","Costa Rica",2015,"Diseases of the digestive system",1558,NA,0,0.000321382563861376,0.236673131734324,2.5512066266498e-05
"Diseases of the digestive system.17368","Costa Rica",2016,"Diseases of the digestive system",1689,NA,0,0.00034474059341919,1.15224105609672,2.5512066266498e-05
"Diseases of the digestive system.17369","Costa Rica",2017,"Diseases of the digestive system",1697,NA,0,0.000342831399477369,1.07740611635183,2.5512066266498e-05
"Diseases of the digestive system.17370","Costa Rica",2018,"Diseases of the digestive system",1810,NA,0,0.000362040331292906,1.83034128102573,2.5512066266498e-05
"Diseases of the digestive system.17371","Costa Rica",2019,"Diseases of the digestive system",1629,NA,0,0.000322730126490794,0.289493731028056,2.5512066266498e-05
"Diseases of the digestive system.17372","Costa Rica",2020,"Diseases of the digestive system",1479,NA,1,0.000290335080840358,-0.980299366561091,2.5512066266498e-05
"Diseases of the genitourinary system.16804","Costa Rica",2010,"Diseases of the genitourinary system",525,NA,0,0.000114694657697617,-1.06045168343681,3.06033630685766e-05
"Diseases of the genitourinary system.16805","Costa Rica",2011,"Diseases of the genitourinary system",501,NA,0,0.000108135268803558,-1.27478724124335,3.06033630685766e-05
"Diseases of the genitourinary system.16806","Costa Rica",2012,"Diseases of the genitourinary system",533,NA,0,0.000113694466492449,-1.09313407860126,3.06033630685766e-05
"Diseases of the genitourinary system.16807","Costa Rica",2013,"Diseases of the genitourinary system",560,NA,0,0.000118090867126476,-0.949476643822753,3.06033630685766e-05
"Diseases of the genitourinary system.16808","Costa Rica",2014,"Diseases of the genitourinary system",685,NA,0,0.000142845524555876,-0.140589810897597,3.06033630685766e-05
"Diseases of the genitourinary system.16809","Costa Rica",2015,"Diseases of the genitourinary system",675,NA,0,0.000139238273816707,-0.258460867457152,3.06033630685766e-05
"Diseases of the genitourinary system.16810","Costa Rica",2016,"Diseases of the genitourinary system",800,NA,0,0.000163287433235851,0.527373008553605,3.06033630685766e-05
"Diseases of the genitourinary system.16811","Costa Rica",2017,"Diseases of the genitourinary system",885,NA,0,0.000178789504147007,1.03392096135276,3.06033630685766e-05
"Diseases of the genitourinary system.16812","Costa Rica",2018,"Diseases of the genitourinary system",851,NA,0,0.000170218962392411,0.753868676399896,3.06033630685766e-05
"Diseases of the genitourinary system.16813","Costa Rica",2019,"Diseases of the genitourinary system",971,NA,0,0.000192370136784875,1.47768371407493,3.06033630685766e-05
"Diseases of the genitourinary system.16814","Costa Rica",2020,"Diseases of the genitourinary system",903,NA,1,0.000177263406354864,0.98405396507774,3.06033630685766e-05
"Diseases of the musculoskeletal system a.17703","Costa Rica",2010,"Diseases of the musculoskeletal system a",162,NA,0,3.53914943752648e-05,-0.894142450163265,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17704","Costa Rica",2011,"Diseases of the musculoskeletal system a",194,NA,0,4.18727388181441e-05,0.428847025562132,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17705","Costa Rica",2012,"Diseases of the musculoskeletal system a",171,NA,0,3.64760858728119e-05,-0.672749298066889,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17706","Costa Rica",2013,"Diseases of the musculoskeletal system a",183,NA,0,3.85904083645448e-05,-0.241161440286694,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17707","Costa Rica",2014,"Diseases of the musculoskeletal system a",189,NA,0,3.94128527606722e-05,-0.0732792858585688,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17708","Costa Rica",2015,"Diseases of the musculoskeletal system a",226,NA,0,4.66190368630751e-05,1.39768910788763,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17709","Costa Rica",2016,"Diseases of the musculoskeletal system a",225,NA,0,4.5924590597583e-05,1.25593467958301,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17710","Costa Rica",2017,"Diseases of the musculoskeletal system a",230,NA,0,4.64650688743635e-05,1.36626026263124,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17711","Costa Rica",2018,"Diseases of the musculoskeletal system a",159,NA,0,3.18035429146807e-05,-1.62653606123612,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17712","Costa Rica",2019,"Diseases of the musculoskeletal system a",187,NA,0,3.70475958586731e-05,-0.556089341290066,4.89893877600627e-06
"Diseases of the musculoskeletal system a.17713","Costa Rica",2020,"Diseases of the musculoskeletal system a",193,NA,1,3.78868631522577e-05,-0.38477319876241,4.89893877600627e-06
"Diseases of the nervous system.17938","Costa Rica",2010,"Diseases of the nervous system",517,NA,0,0.00011294692958032,-0.756984785518802,2.19737439863163e-05
"Diseases of the nervous system.17939","Costa Rica",2011,"Diseases of the nervous system",514,NA,0,0.000110941173982093,-0.848264432695729,2.19737439863163e-05
"Diseases of the nervous system.17940","Costa Rica",2012,"Diseases of the nervous system",514,NA,0,0.000109641568062136,-0.907408014270447,2.19737439863163e-05
"Diseases of the nervous system.17941","Costa Rica",2013,"Diseases of the nervous system",505,NA,0,0.000106492656962268,-1.05071136311391,2.19737439863163e-05
"Diseases of the nervous system.17942","Costa Rica",2014,"Diseases of the nervous system",556,NA,0,0.000115944688544623,-0.620560197784931,2.19737439863163e-05
"Diseases of the nervous system.17943","Costa Rica",2015,"Diseases of the nervous system",605,NA,0,0.000124798749124604,-0.217622010032566,2.19737439863163e-05
"Diseases of the nervous system.17944","Costa Rica",2016,"Diseases of the nervous system",653,NA,0,0.000133283367378763,0.168503279287405,2.19737439863163e-05
"Diseases of the nervous system.17945","Costa Rica",2017,"Diseases of the nervous system",663,NA,0,0.000133940611581317,0.198413712528255,2.19737439863163e-05
"Diseases of the nervous system.17946","Costa Rica",2018,"Diseases of the nervous system",729,NA,0,0.000145816243929574,0.738860181534702,2.19737439863163e-05
"Diseases of the nervous system.17947","Costa Rica",2019,"Diseases of the nervous system",880,NA,0,0.000174341627570227,2.037017821781,2.19737439863163e-05
"Diseases of the nervous system.17948","Costa Rica",2020,"Diseases of the nervous system",801,NA,1,0.000157240297331391,1.25875580828502,2.19737439863163e-05
"Diseases of the respiratory system.17394","Costa Rica",2010,"Diseases of the respiratory system",1727,NA,0,0.000377290807321495,-0.263456246589234,5.14546076606565e-05
"Diseases of the respiratory system.17395","Costa Rica",2011,"Diseases of the respiratory system",1510,NA,0,0.000325916678429885,-1.26189217346333,5.14546076606565e-05
"Diseases of the respiratory system.17396","Costa Rica",2012,"Diseases of the respiratory system",1608,NA,0,0.000343003193470653,-0.929822494622252,5.14546076606565e-05
"Diseases of the respiratory system.17397","Costa Rica",2013,"Diseases of the respiratory system",1677,NA,0,0.000353639971734107,-0.723100905496464,5.14546076606565e-05
"Diseases of the respiratory system.17398","Costa Rica",2014,"Diseases of the respiratory system",1846,NA,0,0.000384953048657148,-0.114543609140221,5.14546076606565e-05
"Diseases of the respiratory system.17399","Costa Rica",2015,"Diseases of the respiratory system",1924,NA,0,0.000396880650108657,0.117264619389519,5.14546076606565e-05
"Diseases of the respiratory system.17400","Costa Rica",2016,"Diseases of the respiratory system",2247,NA,0,0.000458633578101196,1.31740841214369,5.14546076606565e-05
"Diseases of the respiratory system.17401","Costa Rica",2017,"Diseases of the respiratory system",2188,NA,0,0.000442024220422206,0.994612098380527,5.14546076606565e-05
"Diseases of the respiratory system.17402","Costa Rica",2018,"Diseases of the respiratory system",2260,NA,0,0.000452050358409927,1.18946613465738,5.14546076606565e-05
"Diseases of the respiratory system.17403","Costa Rica",2019,"Diseases of the respiratory system",2234,NA,0,0.000442589995445325,1.00560771274514,5.14546076606565e-05
"Diseases of the respiratory system.17404","Costa Rica",2020,"Diseases of the respiratory system",1642,NA,1,0.00032233279427983,-1.33154354800477,5.14546076606565e-05
"Diseases of the skin and subcutaneous ti.17777","Costa Rica",2010,"Diseases of the skin and subcutaneous ti",80,NA,0,1.74772811729702e-05,-0.422783743093942,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17778","Costa Rica",2011,"Diseases of the skin and subcutaneous ti",76,NA,0,1.64037533514379e-05,-0.711218578872611,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17779","Costa Rica",2012,"Diseases of the skin and subcutaneous ti",68,NA,0,1.45051101716445e-05,-1.22134493310561,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17780","Costa Rica",2013,"Diseases of the skin and subcutaneous ti",85,NA,0,1.79245066174115e-05,-0.302623468682669,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17781","Costa Rica",2014,"Diseases of the skin and subcutaneous ti",93,NA,0,1.93936259616006e-05,0.0920986691894479,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17782","Costa Rica",2015,"Diseases of the skin and subcutaneous ti",79,NA,0,1.6296035009659e-05,-0.740160280799809,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17783","Costa Rica",2016,"Diseases of the skin and subcutaneous ti",90,NA,0,1.83698362390332e-05,-0.18297256285288,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17784","Costa Rica",2017,"Diseases of the skin and subcutaneous ti",90,NA,0,1.8181983472577e-05,-0.233444735773389,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17785","Costa Rica",2018,"Diseases of the skin and subcutaneous ti",135,NA,0,2.70030081351063e-05,2.13658308176793,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17786","Costa Rica",2019,"Diseases of the skin and subcutaneous ti",126,NA,0,2.49625512202824e-05,1.5883542950183,3.72190764903351e-06
"Diseases of the skin and subcutaneous ti.17787","Costa Rica",2020,"Diseases of the skin and subcutaneous ti",97,NA,1,1.90415840713419e-05,-0.00248774279476503,3.72190764903351e-06
"Endocrine, nutritional and metabolic dis.17298","Costa Rica",2010,"Endocrine, nutritional and metabolic dis",868,NA,0,0.000189628500726727,-0.61560341542376,0.000103789177281186
"Endocrine, nutritional and metabolic dis.17299","Costa Rica",2011,"Endocrine, nutritional and metabolic dis",786,NA,0,0.00016964934387145,-0.808100912548627,0.000103789177281186
"Endocrine, nutritional and metabolic dis.17300","Costa Rica",2012,"Endocrine, nutritional and metabolic dis",796,NA,0,0.000169795113185721,-0.806696437457006,0.000103789177281186
"Endocrine, nutritional and metabolic dis.17301","Costa Rica",2013,"Endocrine, nutritional and metabolic dis",837,NA,0,0.000176503671044394,-0.742060046318673,0.000103789177281186
